day,date,open,high,low,close,volume
237,12/8/2020,123.6691,124.6657,122.998,124.0539,5393938
238,12/9/2020,124.1427,126.0078,124.044,125.1197,6512456
239,12/10/2020,124.6855,125.2578,123.2941,123.3138,4797608
240,12/11/2020,122.4454,123.8566,121.9816,122.6329,4480916
241,12/14/2020,123.6691,124.5804,121.8434,121.9026,5049180
242,12/15/2020,122.7513,124.271,121.8138,124.271,4255794
243,12/16/2020,124.271,124.9053,123.6355,123.896,4529036
244,12/17/2020,124.419,124.4289,123.2645,123.896,3787590
245,12/18/2020,123.9355,124.7348,123.3237,124.1921,7550428
246,12/21/2020,122.3368,122.5441,120.1165,121.7645,6112623
247,12/22/2020,121.6855,122.5835,120.7974,121.9816,4046870
248,12/23/2020,122.248,123.5605,122.1099,122.2678,2692851
249,12/24/2020,123.3533,123.452,122.5737,123.0474,1761122
250,12/28/2020,123.452,124.9322,122.8204,123.1756,3610746
251,12/29/2020,123.6987,123.8269,121.6165,122.1691,3485267
252,12/30/2020,122.1691,123.2052,122.0013,122.702,3380322
253,12/31/2020,122.5835,124.3697,122.3566,124.2217,3574255
254,1/4/2021,124.1921,124.2586,121.4191,122.3072,5176747
255,1/5/2021,123.3631,125.0111,122.9684,124.4783,6109233
256,1/6/2021,125.2282,130.1426,125.0506,127.5868,7953221
257,1/7/2021,128.3269,128.7413,126.5703,127.2907,4505547
258,1/8/2021,126.8762,127.6164,125.3072,126.8368,4676150
259,1/11/2021,126.2644,127.9667,125.9782,126.8861,5601867
260,1/12/2021,127.3894,128.1394,126.2545,127.5078,3747420
261,1/13/2021,127.4486,128.0407,124.7891,125.248,7674257
262,1/14/2021,126.3335,128.4453,125.8697,127.271,7502188
263,1/15/2021,126.5901,127.5374,125.9881,126.6986,4901773
264,1/19/2021,127.5769,127.8828,126.4011,127.3203,5394909
265,1/20/2021,127.9914,129.3334,126.8664,128.3663,5592729
266,1/21/2021,128.4058,130.4979,128.3367,129.9157,12443231
267,1/22/2021,119.1099,119.1099,115.8139,117.0475,38027302
268,1/25/2021,117.1978,117.9632,115.9027,117.0178,13681454
269,1/26/2021,117.6099,120.975,116.86,120.8763,10679843
270,1/27/2021,120.4717,123.146,120.0192,120.8566,12141440
271,1/28/2021,121.1823,121.577,118.4882,118.4981,8073653
272,1/29/2021,118.6362,119.702,117.3336,117.5409,11770712
273,2/1/2021,118.3205,119.3566,117.1659,118.952,6199139
274,2/2/2021,117.7876,119.406,117.7086,117.8665,6334245
275,2/3/2021,117.4718,118.2218,116.5639,117.5507,6710122
276,2/4/2021,118.3303,119.5046,117.304,119.4257,4558045
277,2/5/2021,119.406,120.2053,118.9323,120.1856,4563521
278,2/8/2021,121.0046,122.3435,120.7875,121.9816,5884607
279,2/9/2021,121.9,122.5953,121.05,122.1,4710441
280,2/10/2021,123.03,123.41,121.2138,122.24,4865107
281,2/11/2021,122,122.205,120.63,120.91,5380498
